threshold,pulse_length,total_spikes,peak_simultaneous_spikes,unique_neurons_fired,downstream_neurons_fired,downstream_spikes,biological_spikes,nmj_spikes,peak_voltage,peak_awcl_voltage,final_mean_voltage,first_downstream_timestep,mean_population_activity,late_mean_population_activity,peak_population_activity,mean_synchrony,late_mean_synchrony,late_active_fraction,late_high_activity_fraction,burst_count,mean_burst_duration,max_burst_duration,mean_burst_interval,dominant_autocorrelation_lag,dominant_autocorrelation,recruitment_fraction,regime
1.0,1,1,1,1,0,0,1,0,0.11539604167824807,0.01,5.2927424638250754e-17,-1,0.001,0.0,1,2.824858757062147e-06,0.0,0.0,0.0,0,0.0,0,0.0,2,-2.002002002000372e-06,0.002824858757062147,isolated / subthreshold
1.0,5,5,1,1,0,0,5,0,0.5433844752680372,0.01,2.743076154648263e-16,-1,0.005,0.0,1,1.4124293785310734e-05,0.0,0.0,0.0,0,0.0,0,0.0,2,0.5999899497486231,0.002824858757062147,isolated / subthreshold
0.75,1,1,1,1,0,0,1,0,0.11539604167824807,0.01,5.2927424638250754e-17,-1,0.001,0.0,1,2.824858757062147e-06,0.0,0.0,0.0,0,0.0,0,0.0,2,-2.002002002000372e-06,0.002824858757062147,isolated / subthreshold
0.75,5,5,1,1,0,0,5,0,0.5433844752680372,0.01,2.743076154648263e-16,-1,0.005,0.0,1,1.4124293785310734e-05,0.0,0.0,0.0,0,0.0,0,0.0,2,0.5999899497486231,0.002824858757062147,isolated / subthreshold
0.5,1,1,1,1,0,0,1,0,0.11539604167824807,0.01,5.2927424638250754e-17,-1,0.001,0.0,1,2.824858757062147e-06,0.0,0.0,0.0,0,0.0,0,0.0,2,-2.002002002000372e-06,0.002824858757062147,isolated / subthreshold
0.5,5,6,1,2,1,1,6,0,0.44122518926782395,0.02094860416782481,2.4846328277001915e-16,5,0.006,0.0,1,1.694915254237288e-05,0.0,0.0,0.0,0,0.0,0,0.0,2,0.6666545942319473,0.005649717514124294,isolated / subthreshold
0.35,1,1,1,1,0,0,1,0,0.11539604167824807,0.01,5.2927424638250754e-17,-1,0.001,0.0,1,2.824858757062147e-06,0.0,0.0,0.0,0,0.0,0,0.0,2,-2.002002002000372e-06,0.002824858757062147,isolated / subthreshold
0.35,5,6,2,2,1,1,6,0,0.33590633772121226,0.02123960416782481,2.691064311564233e-16,4,0.006,0.0,2,1.694915254237288e-05,0.0,0.0,0.0,0,0.0,0,0.0,2,0.4992375690607106,0.005649717514124294,isolated / subthreshold
0.25,1,1,1,1,0,0,1,0,0.11539604167824807,0.01,5.2927424638250754e-17,-1,0.001,0.0,1,2.824858757062147e-06,0.0,0.0,0.0,0,0.0,0,0.0,2,-2.002002002000372e-06,0.002824858757062147,isolated / subthreshold
0.25,5,6,2,2,1,1,6,0,0.24136925487994168,0.01,2.868860763750748e-16,3,0.006,0.0,2,1.694915254237288e-05,0.0,0.0,0.0,0,0.0,0,0.0,2,0.49923756906071065,0.005649717514124294,isolated / subthreshold
0.2,1,1,1,1,0,0,1,0,0.11539604167824807,0.01,5.2927424638250754e-17,-1,0.001,0.0,1,2.824858757062147e-06,0.0,0.0,0.0,0,0.0,0,0.0,2,-2.002002002000372e-06,0.002824858757062147,isolated / subthreshold
0.2,5,161182,184,321,320,160955,159282,1900,0.19998602716577962,0.19982330471497206,0.06461961753664594,2,161.182,164.535,184,0.4553163841807909,0.46478813559322035,1.0,1.0,1,984.0,984,0.0,2,0.8594137001766488,0.9067796610169492,persistent high-activity
0.15,1,1,1,1,0,0,1,0,0.11539604167824807,0.01,5.2927424638250754e-17,-1,0.001,0.0,1,2.824858757062147e-06,0.0,0.0,0.0,0,0.0,0,0.0,2,-2.002002002000372e-06,0.002824858757062147,isolated / subthreshold
0.15,5,208928,242,346,345,208433,204993,3935,0.14995827915720097,0.1471918737638282,0.05039896098900688,2,208.928,211.23,242,0.5901920903954802,0.5966949152542373,1.0,1.0,1,990.0,990,0.0,2,0.7329436726665335,0.9774011299435028,persistent high-activity
0.125,1,1,1,1,0,0,1,0,0.11539604167824807,0.01,5.2927424638250754e-17,-1,0.001,0.0,1,2.824858757062147e-06,0.0,0.0,0.0,0,0.0,0,0.0,2,-2.002002002000372e-06,0.002824858757062147,isolated / subthreshold
0.125,5,233232,269,347,346,232632,228010,5222,0.12495396071873488,0.10201683334259845,0.029480883885931584,2,233.232,235.54,269,0.6588474576271186,0.665367231638418,1.0,1.0,1,992.0,992,0.0,2,0.5990967675806643,0.980225988700565,persistent high-activity
0.1,1,254416,287,348,347,253428,247322,7094,0.09983026641536967,0.06092443220310645,0.019948960914087616,1,254.416,256.485,287,0.7186892655367231,0.7245338983050847,1.0,1.0,1,993.0,993,0.0,2,0.5881692814570696,0.9830508474576272,persistent high-activity
0.1,5,253168,288,348,347,252170,246074,7094,0.09983026641536967,0.09047722917477365,0.02043044147400382,1,253.168,254.985,288,0.7151638418079096,0.7202966101694915,1.0,1.0,1,994.0,994,0.0,2,0.46660638886167477,0.9830508474576272,persistent high-activity
0.075,1,270830,305,348,347,269840,260697,10133,0.07431401318971854,0.06189475547100233,0.021042028630466343,1,270.83,272.69,305,0.7650564971751412,0.7703107344632768,1.0,1.0,1,994.0,994,0.0,7,0.4615434042337532,0.9830508474576272,persistent high-activity
0.075,5,270187,304,348,347,269187,260053,10134,0.07431401318971854,0.01,0.022680133271911773,1,270.187,271.685,304,0.7632401129943502,0.7674717514124293,1.0,1.0,1,995.0,995,0.0,7,0.4353009724979174,0.9830508474576272,persistent high-activity
0.05,1,284217,316,348,347,283222,266239,17978,0.04615841667129923,0.03065882957948598,0.01210893373122061,1,284.217,285.875,316,0.8028728813559324,0.8075564971751413,1.0,1.0,1,995.0,995,0.0,4,0.665412939456629,0.9830508474576272,persistent high-activity
0.05,5,284304,316,348,347,283304,266326,17978,0.04615841667129923,0.01,0.012138807583089275,1,284.304,285.875,316,0.8031186440677969,0.8075564971751413,1.0,1.0,1,995.0,995,0.0,4,0.660095252886728,0.9830508474576272,persistent high-activity
0.025,1,308608,318,348,347,307609,272355,36253,0.023079208335649616,0.01,0.010783017302358035,1,308.608,310.0,318,0.871774011299435,0.8757062146892656,1.0,1.0,1,996.0,996,0.0,2,0.686566390076292,0.9830508474576272,persistent high-activity
0.025,5,308635,324,348,347,307635,272376,36259,0.023079208335649616,0.01,0.010592515536801683,1,308.635,310.0,324,0.8718502824858758,0.8757062146892656,1.0,1.0,1,996.0,996,0.0,2,0.7577153375025161,0.9830508474576272,persistent high-activity
0.01,1,347020,348,348,347,346021,274276,72744,0.01,0.01,0.00983050847457627,1,347.02,348.0,348,0.9802824858757058,0.9830508474576268,1.0,1.0,1,998.0,998,0.0,2,0.3456607388188141,0.9830508474576272,persistent high-activity
0.01,5,347021,348,348,347,346021,274277,72744,0.01,0.01,0.00983050847457627,1,347.021,348.0,348,0.9802853107344629,0.9830508474576268,1.0,1.0,1,998.0,998,0.0,2,0.3462589355029768,0.9830508474576272,persistent high-activity
